concept,prefLabel,altLabel,related,X,EAGLE_lod_id
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , Border delimitation , https://www.eagle-network.eu/voc/typeins/lod/99 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , Border delimitation , https://www.eagle-network.eu/voc/typeins/lod/100 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , Border delimitation , https://www.eagle-network.eu/voc/typeins/lod/101 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , Border delimitation , https://www.eagle-network.eu/voc/typeins/lod/95 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , Border delimitation , https://www.eagle-network.eu/voc/typeins/lod/102 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , Boundary stone , https://www.eagle-network.eu/voc/typeins/lod/97 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , Boundary stone , https://www.eagle-network.eu/voc/typeins/lod/98 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , Boundary stone , https://www.eagle-network.eu/voc/typeins/lod/99 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , Boundary stone , https://www.eagle-network.eu/voc/typeins/lod/100 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , Boundary stone , https://www.eagle-network.eu/voc/typeins/lod/101 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , Boundary stone , https://www.eagle-network.eu/voc/typeins/lod/95 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , Boundary stone , https://www.eagle-network.eu/voc/typeins/lod/102 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , boundary text , https://www.eagle-network.eu/voc/typeins/lod/97 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , boundary text , https://www.eagle-network.eu/voc/typeins/lod/98 ,NA,96
